image_id,image_path,relpath,ground_truth,true_defect_type,prompt_id,raw_response,parsed_prediction,predicted_defect_type,confidence,predicted_class,format_ok,evidence,generation_error,model_tag,correct,error_type
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: A wavy, dashed line is superimposed on the casting, suggesting a non-physical defect or artifact, not a real feature of the part. The casting appears to have internal voids or porosity visible through the center, which is a common casting defect.
Confidence: 85%",Defective,Unknown,85.0,Unmatched,True,"A wavy, dashed line is superimposed on the casting, suggesting a non-physical defect or artifact, not a real feature of the part. The casting appears to have internal voids or porosity visible through the center, which is a common casting defect.",,base,True,correct
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_2,"Defect present: No
Defect type: Unknown
Evidence: The image shows a metallic casting with concentric rings and a central bore, appearing structurally sound with no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The dashed line may be an annotation or overlay, not a defect itself.
Confidence: 100%",OK,None,100.0,ok,True,"The image shows a metallic casting with concentric rings and a central bore, appearing structurally sound with no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The dashed line may be an annotation or overlay, not a defect itself.",,base,False,false_negative_missed_defect
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_3,"Prediction: OK
Evidence: The image shows a metallic casting with concentric circular features, likely a bearing or similar mechanical component. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears smooth and uniform, and the dashed line overlay does not indicate a defect but rather a visual guide or measurement line. No evidence of dimensional deviation or material flaw is present.
Confidence: High",OK,None,,ok,True,"The image shows a metallic casting with concentric circular features, likely a bearing or similar mechanical component. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears smooth and uniform, and the dashed line overlay does not indicate a defect but rather a visual guide or measurement line. No evidence of dimensional deviation or material flaw is present.",,base,False,false_negative_missed_defect
cold_shut_00009,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00009.jpg,cold_shut/cold_shut_00009.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: A wavy, dashed line is superimposed across the casting, indicating a defect such as porosity, inclusions, or surface irregularity that deviates from the expected uniformity.
Confidence: 90%",Defective,Unknown,90.0,Unmatched,True,"A wavy, dashed line is superimposed across the casting, indicating a defect such as porosity, inclusions, or surface irregularity that deviates from the expected uniformity.",,base,True,correct
cold_shut_00009,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00009.jpg,cold_shut/cold_shut_00009.jpg,Defective,cold_shut,prompt_2,"Defect present: Yes
Defect type: Unknown
Evidence: The image shows a circular casting with a central bore and concentric rings. A wavy dashed line traverses the image, possibly indicating a measurement or inspection path, but no clear, identifiable defect such as porosity, inclusions, cracks, or surface irregularities is visible. The internal dark region may suggest a casting void or shadow, but without reference to standards or known defect patterns, it cannot be confidently classified. The image quality and lack of context prevent definitive defect identification.
Confidence: 30%",Defective,Unknown,30.0,Unmatched,True,"The image shows a circular casting with a central bore and concentric rings. A wavy dashed line traverses the image, possibly indicating a measurement or inspection path, but no clear, identifiable defect such as porosity, inclusions, cracks, or surface irregularities is visible. The internal dark region may suggest a casting void or shadow, but without reference to standards or known defect patterns, it cannot be confidently classified. The image quality and lack of context prevent definitive defect identification.",,base,True,correct
cold_shut_00009,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00009.jpg,cold_shut/cold_shut_00009.jpg,Defective,cold_shut,prompt_3,"Prediction: Defective
Evidence: The image shows a casting with a central bore and concentric rings. A dashed line traces a wavy path across the inner region, which appears to be a defect — possibly a void, porosity, or inclusion — that disrupts the uniformity of the casting. The wavy line suggests an irregularity or discontinuity in the material, which is not acceptable in a quality inspection context.
Confidence: High",Defective,Unknown,,Unmatched,True,"The image shows a casting with a central bore and concentric rings. A dashed line traces a wavy path across the inner region, which appears to be a defect — possibly a void, porosity, or inclusion — that disrupts the uniformity of the casting. The wavy line suggests an irregularity or discontinuity in the material, which is not acceptable in a quality inspection context.",,base,True,correct
cold_shut_00017,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00017.jpg,cold_shut/cold_shut_00017.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: Presence of two black rectangular areas indicating possible voids, inclusions, or incomplete filling in the casting, which are non-conforming to quality standards.
Confidence: 85%",Defective,Unknown,85.0,Unmatched,True,"Presence of two black rectangular areas indicating possible voids, inclusions, or incomplete filling in the casting, which are non-conforming to quality standards.",,base,True,correct
cold_shut_00017,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00017.jpg,cold_shut/cold_shut_00017.jpg,Defective,cold_shut,prompt_2,"Defect present: Yes
Defect type: Inclusion
Evidence: The image shows a dark, irregularly shaped void or inclusion within the circular casting, particularly visible in the central region between the concentric rings. This void appears to be a non-metallic or metallic inclusion, which is a common casting defect. The presence of two black squares obscuring parts of the image does not mask the inclusion; the defect is still discernible in the surrounding area.
Confidence: 85%",Defective,Inclusion,85.0,inclusion,True,"The image shows a dark, irregularly shaped void or inclusion within the circular casting, particularly visible in the central region between the concentric rings. This void appears to be a non-metallic or metallic inclusion, which is a common casting defect. The presence of two black squares obscuring parts of the image does not mask the inclusion; the defect is still discernible in the surrounding area.",,base,True,correct
cold_shut_00017,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00017.jpg,cold_shut/cold_shut_00017.jpg,Defective,cold_shut,prompt_3,"Prediction: Defective
Evidence: The image shows a casting with two distinct black rectangular areas that appear to be missing or voided material within the circular structure. These voids are inconsistent with the expected solid, uniform casting and suggest a manufacturing defect such as porosity, incomplete filling, or a crack. Additionally, the wavy line across the bottom may indicate a surface irregularity or a measurement artifact, but the primary defect is the presence of the black voids.
Confidence: High",Defective,Unknown,,Unmatched,True,"The image shows a casting with two distinct black rectangular areas that appear to be missing or voided material within the circular structure. These voids are inconsistent with the expected solid, uniform casting and suggest a manufacturing defect such as porosity, incomplete filling, or a crack. Additionally, the wavy line across the bottom may indicate a surface irregularity or a measurement artifact, but the primary defect is the presence of the black voids.",,base,True,correct
cold_shut_00027,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00027.jpg,cold_shut/cold_shut_00027.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: A wavy, irregular line (possibly a casting defect or surface imperfection) is visible across the top of the casting, indicating non-uniformity or potential porosity.
Confidence: 85%",Defective,Unknown,85.0,Unmatched,True,"A wavy, irregular line (possibly a casting defect or surface imperfection) is visible across the top of the casting, indicating non-uniformity or potential porosity.",,base,True,correct
