image_id,image_path,relpath,ground_truth,true_defect_type,prompt_id,raw_response,parsed_prediction,predicted_defect_type,confidence,predicted_class,format_ok,evidence,generation_error,model_tag,correct,error_type
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: Defect type: cold_shut
Confidence: 95%",Defective,Unknown,95.0,Unmatched,True,Defect type: cold_shut,,finetuned,True,correct
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_2,"Classification: Defective
Defect type: cold_shut
Evidence: A cold shut is visible as a wavy line across the surface.",Defective,cold_shut,,cold_shut,True,A cold shut is visible as a wavy line across the surface.,,finetuned,True,correct
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_3,"Classification: Defective
Defect type: cold_shut",Defective,cold_shut,,cold_shut,True,,,finetuned,True,correct
cold_shut_00009,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00009.jpg,cold_shut/cold_shut_00009.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Defect type: cold_shut",Defective,cold_shut,,cold_shut,True,,,finetuned,True,correct
cold_shut_00009,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00009.jpg,cold_shut/cold_shut_00009.jpg,Defective,cold_shut,prompt_2,"Classification: Defective
Defect type: cold_shut
Evidence: A cold shut is visible as a wavy line across the surface.",Defective,cold_shut,,cold_shut,True,A cold shut is visible as a wavy line across the surface.,,finetuned,True,correct
cold_shut_00009,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00009.jpg,cold_shut/cold_shut_00009.jpg,Defective,cold_shut,prompt_3,"Classification: Defective
Defect type: cold_shut",Defective,cold_shut,,cold_shut,True,,,finetuned,True,correct
cold_shut_00017,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00017.jpg,cold_shut/cold_shut_00017.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: Defect type: cold_shut
Confidence: 90%",Defective,Unknown,90.0,Unmatched,True,Defect type: cold_shut,,finetuned,True,correct
cold_shut_00017,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00017.jpg,cold_shut/cold_shut_00017.jpg,Defective,cold_shut,prompt_2,"Classification: Defective
Defect type: cold_shut
Evidence: Defect type: cold_shut, Defect location: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 2",Defective,cold_shut,,cold_shut,True,"Defect type: cold_shut, Defect location: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 2",,finetuned,True,correct
cold_shut_00017,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00017.jpg,cold_shut/cold_shut_00017.jpg,Defective,cold_shut,prompt_3,"Classification: Defective
Defect type: cold_shut",Defective,cold_shut,,cold_shut,True,,,finetuned,True,correct
cold_shut_00027,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00027.jpg,cold_shut/cold_shut_00027.jpg,Defective,cold_shut,prompt_1,"Classification: Defective
Reason: Defect type: cold_shut
Confidence: 95%",Defective,Unknown,95.0,Unmatched,True,Defect type: cold_shut,,finetuned,True,correct
cold_shut_00027,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00027.jpg,cold_shut/cold_shut_00027.jpg,Defective,cold_shut,prompt_2,"Classification: Defective
Defect type: cold_shut
Evidence: A cold shut is visible as a wavy line across the surface.",Defective,cold_shut,,cold_shut,True,A cold shut is visible as a wavy line across the surface.,,finetuned,True,correct
