image_id,image_path,relpath,ground_truth,true_defect_type,prompt_id,raw_response,parsed_prediction,predicted_defect_type,confidence,predicted_class,format_ok,evidence,generation_error,model_tag,correct,error_type,failure_flags
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_2,"Defect present: No
Defect type: Unknown
Evidence: The image shows a metallic casting with concentric rings and a central bore, appearing structurally sound with no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The dashed line may be an annotation or overlay, not a defect itself.
Confidence: 100%",OK,,100.0,ok,True,"The image shows a metallic casting with concentric rings and a central bore, appearing structurally sound with no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The dashed line may be an annotation or overlay, not a defect itself.",,base,False,false_negative_missed_defect,confidently_wrong
cold_shut_00004,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00004.jpg,cold_shut/cold_shut_00004.jpg,Defective,cold_shut,prompt_3,"Prediction: OK
Evidence: The image shows a metallic casting with concentric circular features, likely a bearing or similar mechanical component. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears smooth and uniform, and the dashed line overlay does not indicate a defect but rather a visual guide or measurement line. No evidence of dimensional deviation or material flaw is present.
Confidence: High",OK,,,ok,True,"The image shows a metallic casting with concentric circular features, likely a bearing or similar mechanical component. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears smooth and uniform, and the dashed line overlay does not indicate a defect but rather a visual guide or measurement line. No evidence of dimensional deviation or material flaw is present.",,base,False,false_negative_missed_defect,none
cold_shut_00027,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00027.jpg,cold_shut/cold_shut_00027.jpg,Defective,cold_shut,prompt_2,"Defect present: No
Defect type: Unknown
Evidence: The image shows a metallic casting with a concentric circular structure, likely a bearing or similar component. There are no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The dashed line across the image appears to be an overlay or annotation, not a defect. The surface appears uniform and smooth, with no signs of manufacturing flaws.
Confidence: 100%",OK,,100.0,ok,True,"The image shows a metallic casting with a concentric circular structure, likely a bearing or similar component. There are no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The dashed line across the image appears to be an overlay or annotation, not a defect. The surface appears uniform and smooth, with no signs of manufacturing flaws.",,base,False,false_negative_missed_defect,confidently_wrong
cold_shut_00027,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00027.jpg,cold_shut/cold_shut_00027.jpg,Defective,cold_shut,prompt_3,"Prediction: OK
Evidence: The image shows a casting with a concentric circular feature (likely a bore or internal cavity) and a smooth, uniform surface. There are no visible cracks, porosity, inclusions, or dimensional deviations that would indicate a defect. The dashed line across the image appears to be a graphical overlay for annotation or measurement, not a defect itself. The surface texture and geometry appear consistent with a well-manufactured part.
Confidence: High",OK,,,ok,True,"The image shows a casting with a concentric circular feature (likely a bore or internal cavity) and a smooth, uniform surface. There are no visible cracks, porosity, inclusions, or dimensional deviations that would indicate a defect. The dashed line across the image appears to be a graphical overlay for annotation or measurement, not a defect itself. The surface texture and geometry appear consistent with a well-manufactured part.",,base,False,false_negative_missed_defect,none
cold_shut_00029,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00029.jpg,cold_shut/cold_shut_00029.jpg,Defective,cold_shut,prompt_2,"Defect present: No
Defect type: Unknown
Evidence: The image shows a circular, concentric structure with a smooth, uniform surface and no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The casting appears intact and well-formed, though the image quality is grainy and the perspective is angled, which may obscure finer details. Without reference to a specific defect database or known standards, no defect can be confidently identified.
Confidence: 90%",OK,,90.0,ok,True,"The image shows a circular, concentric structure with a smooth, uniform surface and no visible cracks, porosity, inclusions, or surface irregularities that would indicate a defect. The casting appears intact and well-formed, though the image quality is grainy and the perspective is angled, which may obscure finer details. Without reference to a specific defect database or known standards, no defect can be confidently identified.",,base,False,false_negative_missed_defect,confidently_wrong
cold_shut_00029,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00029.jpg,cold_shut/cold_shut_00029.jpg,Defective,cold_shut,prompt_3,"Prediction: OK
Evidence: The image shows a casting with concentric circular features and a central hole, consistent with a machined or cast component. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears uniform and the geometry is intact. The image quality, while grainy, does not obscure critical features.
Confidence: High",OK,,,ok,True,"The image shows a casting with concentric circular features and a central hole, consistent with a machined or cast component. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears uniform and the geometry is intact. The image quality, while grainy, does not obscure critical features.",,base,False,false_negative_missed_defect,none
cold_shut_00034,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00034.jpg,cold_shut/cold_shut_00034.jpg,Defective,cold_shut,prompt_2,"Defect present: No
Defect type: Unknown
Evidence: The image shows a circular industrial casting (likely a bearing or disc) with a smooth, uniform surface and no visible cracks, porosity, inclusions, or surface irregularities. The concentric rings and central hole appear machined or cast with consistent geometry. While the image is in black and white and has a stylized overlay (wavy line and black rectangle), these are likely graphical elements for presentation or annotation, not actual defects. No defect labels are available in the dataset to confirm or reject any specific type.
Confidence: 95%",OK,,95.0,ok,True,"The image shows a circular industrial casting (likely a bearing or disc) with a smooth, uniform surface and no visible cracks, porosity, inclusions, or surface irregularities. The concentric rings and central hole appear machined or cast with consistent geometry. While the image is in black and white and has a stylized overlay (wavy line and black rectangle), these are likely graphical elements for presentation or annotation, not actual defects. No defect labels are available in the dataset to confirm or reject any specific type.",,base,False,false_negative_missed_defect,confidently_wrong
cold_shut_00034,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00034.jpg,cold_shut/cold_shut_00034.jpg,Defective,cold_shut,prompt_3,"Prediction: OK
Evidence: The casting shows no visible cracks, porosity, or surface defects. The concentric rings and central bore are well-defined, and the surface appears smooth and uniform. The black dashed line across the image is likely a graphical overlay for annotation and does not indicate a physical defect. No evidence of material flaws or dimensional inconsistencies is present.
Confidence: High",OK,,,ok,True,"The casting shows no visible cracks, porosity, or surface defects. The concentric rings and central bore are well-defined, and the surface appears smooth and uniform. The black dashed line across the image is likely a graphical overlay for annotation and does not indicate a physical defect. No evidence of material flaws or dimensional inconsistencies is present.",,base,False,false_negative_missed_defect,none
cold_shut_00045,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00045.jpg,cold_shut/cold_shut_00045.jpg,Defective,cold_shut,prompt_2,"Defect present: No
Defect type: Unknown
Evidence: The image shows a circular metallic component with a central bore and concentric rings, likely a bearing or shaft component. There are no visible cracks, porosity, inclusions, surface pitting, or dimensional irregularities that would indicate a defect. The black wavy line appears to be an overlay or annotation, not a physical defect. The surface appears smooth and uniform.
Confidence: 100%",OK,,100.0,ok,True,"The image shows a circular metallic component with a central bore and concentric rings, likely a bearing or shaft component. There are no visible cracks, porosity, inclusions, surface pitting, or dimensional irregularities that would indicate a defect. The black wavy line appears to be an overlay or annotation, not a physical defect. The surface appears smooth and uniform.",,base,False,false_negative_missed_defect,confidently_wrong
cold_shut_00045,/content/casting-defect-vlm/data/raw/output/defect_dataset/cold_shut/cold_shut_00045.jpg,cold_shut/cold_shut_00045.jpg,Defective,cold_shut,prompt_3,"Prediction: OK
Evidence: The image shows a circular metallic casting with a central bore and concentric rings. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears smooth and uniform, and the black dashed line across the image is likely a graphical overlay for annotation or measurement, not a defect. No evidence of material failure or dimensional deviation is present.
Confidence: High",OK,,,ok,True,"The image shows a circular metallic casting with a central bore and concentric rings. There are no visible cracks, porosity, inclusions, or surface defects that would indicate a manufacturing defect. The surface appears smooth and uniform, and the black dashed line across the image is likely a graphical overlay for annotation or measurement, not a defect. No evidence of material failure or dimensional deviation is present.",,base,False,false_negative_missed_defect,none
